Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
212,1.83,5.13,0,0,0,3.3,
213,1.596,4.896,0,0,0,3.3,
214,1.295,4.595,0,0,0,3.3,
215,0.994,3.72558,0,0,0,2.73158,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.102,0,-0.102,0,
225,0.805,0.805,0.678,0,-0.678,0,
226,0.805,0.3975,1.11,0.4075,-0.681053,0,
227,0.809,-1.9669,2.922,2.7759,0,0,
228,0.783,-2.3235,3.27,3.1065,0,0,
229,0.779,-2.2021,3.138,2.9811,0,0,
230,0.772,-1.6163,2.514,2.3883,0,0,
231,0.808,0,0.312,0.808,0.538526,0,
232,0.948,0,0.168,0.948,0.829895,0,
233,1.272,0,0.006,1.272,1.33295,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,1.83,5.13,0,0,0,3.3,
237,1.596,4.896,0,0,0,3.3,
238,1.295,4.595,0,0,0,3.3,
239,0.994,3.72558,0,0,0,2.73158,
240,0.679,0.679,0,0,0,0,
241,0.566,0.566,0,0,0,0,
242,0.522,0.522,0,0,0,0,
243,0.51,0.51,0,0,0,0,
244,0.507,0.507,0,0,0,0,
245,0.561,0.561,0,0,0,0,
246,0.784,0.784,0,0,0,0,
247,1.095,1.095,0,0,0,0,
248,0.999,0.999,0.678,0,-0.678,0,
249,0.803,0.803,1.674,0,-1.674,0,
250,0.8,-0.937056,2.478,1.73706,-0.64952,0,
251,0.809,-2.0866,3.048,2.8956,0,0,
252,0.783,-2.3235,3.27,3.1065,0,0,
253,0.779,-2.1679,3.102,2.9469,0,0,
254,0.772,-1.7531,2.658,2.5251,0,0,
255,0.808,-1.1129,2.022,1.9209,0,0,
256,0.948,-0.135,1.14,1.083,0,0,
257,1.272,0,0.03,1.272,1.30895,0,
258,1.66,1.66,0,0,0,0,
259,1.867,1.867,0,0,0,0,
260,1.83,5.13,0,0,0,3.3,
261,1.596,4.896,0,0,0,3.3,
262,1.295,4.595,0,0,0,3.3,
263,0.994,3.72558,0,0,0,2.73158,
264,0.686,0.686,0,0,0,0,
265,0.57,0.57,0,0,0,0,
266,0.522,0.522,0,0,0,0,
267,0.506,0.506,0,0,0,0,
268,0.505,0.505,0,0,0,0,
269,0.571,0.571,0,0,0,0,
270,0.798,0.798,0,0,0,0,
271,1.127,1.127,0,0,0,0,
272,1.046,1.046,0.642,0,-0.642,0,
273,0.848,0.103567,1.596,0.744433,-0.812386,0,
274,0.851,-1.4803,2.454,2.3313,0,0,
275,0.862,-1.9709,2.982,2.8329,0,0,
276,0.831,-2.2755,3.27,3.1065,0,0,
277,0.823,-2.1239,3.102,2.9469,0,0,
278,0.809,-1.642,2.58,2.451,0,0,
279,0.848,-0.9361,1.878,1.7841,0,0,
280,0.984,-0.0762,1.116,1.0602,0,0,
281,1.308,0,0.036,1.308,1.34084,0,
282,1.695,1.695,0,0,0,0,
283,1.902,1.902,0,0,0,0,
284,1.866,5.166,0,0,0,3.3,
285,1.631,4.931,0,0,0,3.3,
286,1.324,4.624,0,0,0,3.3,
287,1.01,3.74158,0,0,0,2.73158,
288,0.686,0.686,0,0,0,0,
289,0.57,0.57,0,0,0,0,
290,0.522,0.522,0,0,0,0,
291,0.511,0.511,0,0,0,0,
292,0.515,0.515,0,0,0,0,
293,0.577,0.577,0,0,0,0,
294,0.811,0.811,0,0,0,0,
295,1.137,1.137,0,0,0,0,
296,1.053,1.053,0.66,0,-0.66,0,
297,0.848,0.0460333,1.674,0.801967,-0.829825,0,
298,0.851,-1.4461,2.418,2.2971,0,0,
299,0.862,-1.9709,2.982,2.8329,0,0,
300,0.831,-2.1501,3.138,2.9811,0,0,
301,0.823,-2.084,3.06,2.907,0,0,
302,0.809,-1.7446,2.688,2.5536,0,0,
303,0.848,-1.0159,1.962,1.8639,0,0,
304,0.984,-0.1275,1.17,1.1115,0,0,
305,1.308,0,0.042,1.308,1.33484,0,
306,1.695,1.695,0,0,0,0,
307,1.902,1.902,0,0,0,0,
308,1.866,5.166,0,0,0,3.3,
309,1.631,4.931,0,0,0,3.3,
310,1.324,4.624,0,0,0,3.3,
311,1.01,3.74158,0,0,0,2.73158,
312,0.679,0.679,0,0,0,0,
313,0.566,0.566,0,0,0,0,
314,0.529,0.529,0,0,0,0,
315,0.528,0.528,0,0,0,0,
316,0.53,0.53,0,0,0,0,
317,0.591,0.591,0,0,0,0,
318,0.813,0.813,0,0,0,0,
319,1.123,1.123,0,0,0,0,
320,1.025,1.025,0.678,0,-0.678,0,
321,0.803,-0.0509,1.704,0.8539,-0.805158,0,
322,0.8,-1.5313,2.454,2.3313,0,0,
323,0.809,-2.0866,3.048,2.8956,0,0,
324,0.783,-2.4147,3.366,3.1977,0,0,
325,0.779,-2.1907,3.126,2.9697,0,0,
326,0.772,-1.7759,2.682,2.5479,0,0,
327,0.808,-0.9647,1.866,1.7727,0,0,
328,0.948,-0.1464,1.152,1.0944,0,0,
329,1.272,0,0.048,1.272,1.29095,0,
330,1.66,1.66,0,0,0,0,
331,1.867,1.867,0,0,0,0,
332,1.83,5.13,0,0,0,3.3,
333,1.596,4.896,0,0,0,3.3,
334,1.295,4.595,0,0,0,3.3,
335,0.994,3.72558,0,0,0,2.73158,
336,0.679,0.679,0,0,0,0,
337,0.566,0.566,0,0,0,0,
338,0.522,0.522,0,0,0,0,
339,0.519,0.519,0,0,0,0,
340,0.515,0.515,0,0,0,0,
341,0.575,0.575,0,0,0,0,
342,0.795,0.795,0,0,0,0,
343,1.109,1.109,0,0,0,0,
344,1.031,1.031,0.102,0,-0.102,0,
345,0.833,0.833,0.426,0,-0.426,0,
346,0.84,0.84,0.402,0,-0.402,0,
347,0.835,0.499067,0.858,0.335933,-0.504386,0,
348,0.789,-1.1946,2.088,1.9836,0,0,
349,0.779,-0.5092,1.356,1.2882,0,0,
350,0.772,-1.2401,2.118,2.0121,0,0,
351,0.808,0,0.666,0.808,0.184526,0,
352,0.948,-0.00292222,1.206,0.950922,-0.205029,0,
353,1.272,0,0.06,1.272,1.27895,0,
354,1.66,1.66,0,0,0,0,
355,1.867,1.867,0,0,0,0,
356,1.83,5.13,0,0,0,3.3,
