Time step,Total load requested [kW],Total load served [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
183,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
184,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
185,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
186,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
187,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
188,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
189,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
190,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
191,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
192,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
193,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
194,64.356,64.356,0,0,0,0,0,0,0,0,2976,100,
195,62.496,62.496,0,0,0,0,0,0,0,0,2976,100,
196,60.884,60.884,0,0,0,0,0,0,0,0,0,0,
197,67.456,67.456,0,0,0,0,0,0,0,0,0,0,
198,94.116,94.116,0,0,0,0,0,0,0,0,0,0,
199,133.92,133.92,0,0,0,0,0,0,0,0,0,0,
200,123.752,123.752,0,0,0,0,0,0,0,0,0,0,
201,99.572,99.572,0,0,0,0,0,0,0,0,0,0,
202,99.2,99.2,0,0,0,0,0,0,0,0,0,0,
203,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
204,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
205,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
206,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
207,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
208,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
209,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
210,205.84,205.84,0,0,0,0,0,0,0,0,0,0,
211,231.508,231.508,0,0,0,0,0,0,0,0,1488,50,
212,226.92,226.92,0,0,0,0,0,0,0,409.2,1876.74,63.0625,
213,197.904,197.904,0,0,0,0,0,0,0,409.2,2265.48,76.125,
214,160.58,160.58,0,0,0,0,0,0,0,409.2,2654.22,89.1875,
215,123.256,123.256,0,0,0,0,0,0,0,338.716,2976,100,
216,84.196,84.196,0,0,0,0,0,0,0,0,2976,100,
217,70.184,70.184,0,0,0,0,0,0,0,0,2976,100,
218,64.356,64.356,0,0,0,0,0,0,0,0,2976,100,
219,62.496,62.496,0,0,0,0,0,0,0,0,2976,100,
220,60.884,60.884,0,0,0,0,0,0,0,0,0,0,
221,67.456,67.456,0,0,0,0,0,0,0,0,0,0,
222,93.868,93.868,0,0,0,0,0,0,0,0,0,0,
223,133.796,133.796,0,0,0,0,0,0,0,0,0,0,
224,124.124,124.124,0,0,0,0,0,0,0,0,0,0,
225,99.82,99.82,0,0,0,0,0,0,0,0,0,0,
226,99.82,99.82,0,0,0,0,0,0,0,0,0,0,
227,100.316,100.316,0,0,0,0,0,0,0,0,0,0,
228,97.092,97.092,0,0,0,0,0,0,0,0,0,0,
229,96.596,96.596,0,0,0,0,0,0,0,0,0,0,
230,95.728,95.728,0,0,0,0,0,0,0,0,0,0,
231,100.192,100.192,0,0,0,0,0,0,0,0,0,0,
232,117.552,117.552,0,0,0,0,0,0,0,0,0,0,
233,157.728,157.728,0,0,0,0,0,0,0,0,0,0,
