Time step,Grid total load,Grid net load,s1 total load,
414,107.136,107.136,107.136,
415,145.328,145.328,145.328,
416,133.3,133.3,133.3,
417,107.508,107.508,107.508,
418,104.78,104.78,104.78,
419,101.184,101.184,101.184,
420,97.092,97.092,97.092,
421,96.596,96.596,96.596,
422,95.728,95.728,95.728,
423,100.192,100.192,100.192,
424,117.552,117.552,117.552,
425,157.728,157.728,157.728,
426,205.84,205.84,205.84,
427,231.508,231.508,231.508,
428,226.92,636.12,636.12,
429,197.904,607.104,607.104,
430,161.944,571.144,571.144,
431,126.604,465.32,465.32,
432,90.892,90.892,90.892,
433,78.12,78.12,78.12,
434,73.532,73.532,73.532,
435,72.664,72.664,72.664,
436,72.292,72.292,72.292,
437,79.608,79.608,79.608,
438,108.872,108.872,108.872,
439,147.684,147.684,147.684,
440,136.4,136.4,136.4,
441,111.228,111.228,111.228,
442,112.22,112.22,112.22,
443,110.36,110.36,110.36,
444,103.044,103.044,103.044,
445,102.052,102.052,102.052,
446,100.316,100.316,100.316,
447,105.152,105.152,105.152,
448,122.016,122.016,122.016,
449,162.192,162.192,162.192,
450,210.18,210.18,210.18,
451,235.848,235.848,235.848,
452,231.384,640.584,640.584,
453,202.616,611.816,611.816,
454,166.284,575.484,575.484,
455,129.456,468.172,468.172,
456,91.636,91.636,91.636,
457,78.616,78.616,78.616,
458,74.648,74.648,74.648,
459,73.656,73.656,73.656,
460,73.408,73.408,73.408,
461,81.22,81.22,81.22,
462,110.732,110.732,110.732,
463,149.792,149.792,149.792,
464,138.632,138.632,138.632,
465,111.724,111.724,111.724,
466,110.856,110.856,110.856,
467,108.128,108.128,108.128,
468,103.044,103.044,103.044,
469,102.052,102.052,102.052,
470,100.316,100.316,100.316,
471,105.152,105.152,105.152,
472,122.016,122.016,122.016,
473,162.192,162.192,162.192,
474,210.18,210.18,210.18,
475,235.848,235.848,235.848,
476,231.384,640.584,640.584,
477,202.244,611.444,611.444,
478,165.664,574.864,574.864,
479,128.464,467.18,467.18,
480,89.9,89.9,89.9,
481,77.872,77.872,77.872,
482,73.408,73.408,73.408,
483,72.788,72.788,72.788,
484,72.664,72.664,72.664,
485,79.608,79.608,79.608,
486,108.004,108.004,108.004,
487,146.196,146.196,146.196,
488,134.044,134.044,134.044,
489,106.516,106.516,106.516,
490,104.656,104.656,104.656,
491,101.308,101.308,101.308,
492,97.092,97.092,97.092,
493,96.596,96.596,96.596,
494,95.728,95.728,95.728,
495,100.192,100.192,100.192,
496,117.552,117.552,117.552,
497,157.728,157.728,157.728,
498,205.84,205.84,205.84,
499,231.508,231.508,231.508,
500,226.92,636.12,636.12,
501,197.904,607.104,607.104,
502,160.58,569.78,569.78,
503,124.496,463.212,463.212,
504,88.04,88.04,88.04,
505,75.268,75.268,75.268,
506,71.672,71.672,71.672,
507,70.804,70.804,70.804,
508,70.06,70.06,70.06,
509,77.872,77.872,77.872,
510,106.268,106.268,106.268,
511,144.584,144.584,144.584,
512,132.804,132.804,132.804,
513,104.78,104.78,104.78,
514,102.548,102.548,102.548,
515,100.316,100.316,100.316,
516,97.092,97.092,97.092,
517,96.596,96.596,96.596,
518,95.728,95.728,95.728,
519,100.192,100.192,100.192,
520,117.552,117.552,117.552,
521,157.728,157.728,157.728,
522,205.84,205.84,205.84,
523,231.508,231.508,231.508,
524,226.92,636.12,636.12,
525,197.904,607.104,607.104,
526,160.58,569.78,569.78,
527,123.256,461.972,461.972,
528,84.692,84.692,84.692,
529,71.796,71.796,71.796,
530,67.456,67.456,67.456,
531,66.836,66.836,66.836,
532,65.844,65.844,65.844,
533,72.912,72.912,72.912,
534,99.944,99.944,99.944,
535,139.376,139.376,139.376,
536,129.456,129.456,129.456,
537,103.664,103.664,103.664,
