Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
88,18960,18960,174,14.1155,159.885,0.33581,174,24360,24360,23385.6,0,0,0,165795,0,220000,100,0,0,0,
89,25440,25440,1,0.000467456,0.999533,0.00519396,1,140,26500,25440,26360,0,0,165795,26360,192367,87.4396,0,0,0,
90,33200,33200,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
91,37340,37340,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,255000,51,
92,36600,36600,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,318360,63.672,
93,31920,31920,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,381720,76.344,
94,25900,25900,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,66000,445080,89.016,
95,19900,19900,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,57208.3,500000,100,
96,13940,13940,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
97,11920,11920,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
98,11240,11240,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
99,11200,11200,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,500000,100,
100,11100,11100,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
101,12320,12320,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
102,16960,16960,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
103,23420,23420,0,0,0,0,0,0,0,0,0,28967,0,139435,0,192367,87.4396,0,0,0,
104,21560,21560,104,1.26294,102.737,0.134929,104,14560,0,0,-14560,28967,14560,139435,0,206257,93.753,0,0,0,
105,17400,17400,266,8.20408,257.796,0.262062,266,37240,22833,21919.6,-14407,14407,14407,152684,0,220000,100,0,0,0,
106,17280,17280,394,30.1719,363.828,0.331048,394,55160,55160,52953.6,0,0,0,165795,0,220000,100,0,0,0,
107,17240,17240,488,64.3914,423.609,0.37999,488,68320,68320,65587.2,0,0,0,165795,0,220000,100,0,0,0,
108,16620,16620,497,68.9368,428.063,0.385014,497,69580,69580,66796.8,0,0,0,165795,0,220000,100,0,0,0,
