Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
78,1274.75,1274.75,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,0,0,
79,1745.36,1745.36,0,0,0,0,0,0,0,0,0,2643.87,0,9179.27,0,12721.8,83.5312,0,0,0,
80,1594.58,1594.58,106,1.30948,104.691,0.137262,106,807.19,0,0,-807.19,2643.87,807.19,9179.27,0,13487.6,88.5592,0,0,0,
81,1261.04,1261.04,271,8.89015,262.11,0.266763,271,2063.66,226.98,215.631,-1836.68,1836.68,1836.68,9905.74,0,15230,100,0,0,0,
82,1248.86,1248.86,400,32.5381,367.462,0.336038,400,3046,3046,2893.7,0,0,0,11558.8,0,15230,100,0,0,0,
83,1232.11,1232.11,488,64.4879,423.512,0.380139,488,3716.12,3716.12,3530.31,0,0,0,11558.8,0,15230,100,0,0,0,
84,1192.51,1192.51,525,89.5886,435.411,0.407069,525,3997.88,3997.88,3797.98,0,0,0,11558.8,0,15230,100,0,0,0,
85,1186.42,1186.42,491,83.3687,407.631,0.406512,491,3738.97,3738.97,3552.02,0,0,0,11558.8,0,15230,100,0,0,0,
86,1175.76,1175.76,435,80.8507,354.149,0.416788,435,3312.52,3312.52,3146.9,0,0,0,11558.8,0,15230,100,0,0,0,
87,1230.58,1230.58,308,41.0419,266.958,0.380971,308,2345.42,2345.42,2228.15,0,0,0,11558.8,0,15230,100,0,0,0,
88,1443.8,1443.8,174,14.1155,159.885,0.33581,174,1325.01,1519.79,1443.8,194.784,0,0,11558.8,194.784,15024.7,98.6519,0,0,0,
89,1937.26,1937.26,1,0.000467456,0.999533,0.00519396,1,7.615,2039.22,1937.26,2031.6,216.426,0,11364,2031.6,12883.2,84.5908,0,0,0,
90,2528.18,2528.18,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,0,0,
91,2843.44,2843.44,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,18276,50,
92,2787.09,2787.09,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,5025.9,23050.6,63.0625,
93,2430.71,2430.71,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,5025.9,27825.2,76.125,
94,1972.28,1972.28,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,5025.9,32599.8,89.1875,
95,1515.38,1515.38,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,4160.19,36552,100,
96,1061.53,1061.53,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,36552,100,
97,907.708,907.708,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,36552,100,
98,855.926,855.926,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,36552,100,
99,852.88,852.88,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,36552,100,
100,845.265,845.265,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,0,0,
101,938.168,938.168,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,0,0,
102,1291.5,1291.5,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,0,0,
103,1783.43,1783.43,0,0,0,0,0,0,0,0,0,2473.76,0,9332.37,0,12883.2,84.5908,0,0,0,
104,1641.79,1641.79,104,1.26294,102.737,0.134929,104,791.96,0,0,-791.96,2473.76,791.96,9332.37,0,13634.5,89.524,0,0,0,
105,1325.01,1325.01,266,8.20408,257.796,0.262062,266,2025.59,343.788,326.599,-1681.8,1681.8,1681.8,10045.1,0,15230,100,0,0,0,
106,1315.87,1315.87,394,30.1719,363.828,0.331048,394,3000.31,3000.31,2850.29,0,0,0,11558.8,0,15230,100,0,0,0,
107,1312.83,1312.83,488,64.3914,423.609,0.37999,488,3716.12,3716.12,3530.31,0,0,0,11558.8,0,15230,100,0,0,0,
108,1265.61,1265.61,497,68.9368,428.063,0.385014,497,3784.65,3784.65,3595.42,0,0,0,11558.8,0,15230,100,0,0,0,
109,1253.43,1253.43,525,112.623,412.377,0.434041,525,3997.88,3997.88,3797.98,0,0,0,11558.8,0,15230,100,0,0,0,
110,1232.11,1232.11,435,80.2473,354.753,0.41592,435,3312.52,3312.52,3146.9,0,0,0,11558.8,0,15230,100,0,0,0,
111,1291.5,1291.5,299,35.1302,263.87,0.368706,299,2276.89,2276.89,2163.04,0,0,0,11558.8,0,15230,100,0,0,0,
112,1498.63,1498.63,169,11.9396,157.06,0.324523,169,1286.93,1577.51,1498.63,290.572,0,0,11558.8,290.572,14923.7,97.9889,0,0,0,
113,1992.08,1992.08,2,0.00184521,1.99815,0.0102512,2,15.23,2096.93,1992.08,2081.7,322.858,0,11268.2,2081.7,12729.4,83.5811,0,0,0,
114,2581.49,2581.49,0,0,0,0,0,0,0,0,0,2635.86,0,9186.48,0,12729.4,83.5811,0,0,0,
