Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
105,0.87,0.87,266,8.20408,257.796,0.262062,266,1.33,0.261041,0.247989,-1.06896,1.06896,1.06896,6.49806,0,10,100,0,0,0,
106,0.864,0.864,394,30.1719,363.828,0.331048,394,1.97,1.97,1.8715,0,0,0,7.4815,0,10,100,0,0,0,
107,0.862,0.862,488,64.3914,423.609,0.37999,488,2.44,2.44,2.318,0,0,0,7.4815,0,10,100,0,0,0,
108,0.831,0.831,497,68.9368,428.063,0.385014,497,2.485,2.485,2.36075,0,0,0,7.4815,0,10,100,0,0,0,
109,0.823,0.823,525,112.623,412.377,0.434041,525,2.625,2.625,2.49375,0,0,0,7.4815,0,10,100,0,0,0,
110,0.809,0.809,435,80.2473,354.753,0.41592,435,2.175,2.175,2.06625,0,0,0,7.4815,0,10,100,0,0,0,
111,0.848,0.848,299,35.1302,263.87,0.368706,299,1.495,1.495,1.42025,0,0,0,7.4815,0,10,100,0,0,0,
112,0.984,0.984,169,11.9396,157.06,0.324523,169,0.845,1.03579,0.984,0.190789,0,0,7.4815,0.190789,9.80109,98.0109,0,0,0,
113,1.308,1.308,2,0.00184521,1.99815,0.0102512,2,0.01,1.37684,1.308,1.36684,0.20738,0,7.29071,1.36684,8.37606,83.7606,0,0,0,
114,1.695,1.695,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,0,0,
115,1.902,1.902,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,11.5,50,
116,1.866,1.866,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,3.3,14.635,63.6304,
117,1.631,1.631,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,3.3,17.77,77.2609,
118,1.324,1.324,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,3.3,20.905,90.8913,
119,1.014,1.014,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,2.20526,23,100,
120,0.708,0.708,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,23,100,
121,0.607,0.607,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,23,100,
122,0.572,0.572,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,23,100,
123,0.563,0.563,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,23,100,
124,0.565,0.565,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,0,0,
125,0.627,0.627,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,0,0,
126,0.86,0.86,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,0,0,
127,1.177,1.177,0,0,0,0,0,0,0,0,0,1.69308,0,5.92387,0,8.37606,83.7606,0,0,0,
