Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
281,0,1.308,0.03,1.308,1.34684,0,
282,1.695,1.695,0,0,0,0,
283,1.902,1.902,0,0,0,0,
284,5.166,1.866,0,0,0,3.3,
285,4.931,1.631,0,0,0,3.3,
286,4.624,1.324,0,0,0,3.3,
287,3.21526,1.01,0,0,0,2.20526,
288,0.686,0.686,0,0,0,0,
289,0.57,0.57,0,0,0,0,
290,0.522,0.522,0,0,0,0,
291,0.511,0.511,0,0,0,0,
292,0.515,0.515,0,0,0,0,
293,0.577,0.577,0,0,0,0,
294,0.811,0.811,0,0,0,0,
295,1.137,1.137,0,0,0,0,
296,1.053,1.053,0.55,0,-0.55,0,
297,0.50025,0.848,1.395,0.34775,-1.02895,0,
298,-1.06325,0.851,2.015,1.91425,0,0,
299,-1.49875,0.862,2.485,2.36075,0,0,
300,-1.65325,0.831,2.615,2.48425,0,0,
301,-1.5995,0.823,2.55,2.4225,0,0,
302,-1.319,0.809,2.24,2.128,0,0,
303,-0.70525,0.848,1.635,1.55325,0,0,
304,0,0.984,0.975,0.984,0.0607895,0,
305,0,1.308,0.035,1.308,1.34184,0,
306,1.695,1.695,0,0,0,0,
307,1.902,1.902,0,0,0,0,
308,5.166,1.866,0,0,0,3.3,
309,4.931,1.631,0,0,0,3.3,
310,4.624,1.324,0,0,0,3.3,
311,3.21526,1.01,0,0,0,2.20526,
312,0.679,0.679,0,0,0,0,
313,0.566,0.566,0,0,0,0,
314,0.529,0.529,0,0,0,0,
315,0.528,0.528,0,0,0,0,
316,0.53,0.53,0,0,0,0,
317,0.591,0.591,0,0,0,0,
318,0.813,0.813,0,0,0,0,
319,1.123,1.123,0,0,0,0,
320,1.025,1.025,0.565,0,-0.565,0,
321,0.36562,0.803,1.42,0.43738,-0.9596,0,
322,-1.14275,0.8,2.045,1.94275,0,0,
323,-1.604,0.809,2.54,2.413,0,0,
324,-1.88175,0.783,2.805,2.66475,0,0,
325,-1.69575,0.779,2.605,2.47475,0,0,
326,-1.35125,0.772,2.235,2.12325,0,0,
327,-0.66925,0.808,1.555,1.47725,0,0,
328,0,0.948,0.96,0.948,0.0378947,0,
329,0,1.272,0.04,1.272,1.29895,0,
330,1.66,1.66,0,0,0,0,
331,1.867,1.867,0,0,0,0,
332,5.13,1.83,0,0,0,3.3,
333,4.896,1.596,0,0,0,3.3,
334,4.595,1.295,0,0,0,3.3,
335,3.19926,0.994,0,0,0,2.20526,
336,0.679,0.679,0,0,0,0,
337,0.566,0.566,0,0,0,0,
338,0.522,0.522,0,0,0,0,
339,0.519,0.519,0,0,0,0,
340,0.515,0.515,0,0,0,0,
341,0.575,0.575,0,0,0,0,
342,0.795,0.795,0,0,0,0,
343,1.109,1.109,0,0,0,0,
344,1.031,1.031,0.085,0,-0.085,0,
345,0.833,0.833,0.355,0,-0.355,0,
346,0.84,0.84,0.335,0,-0.335,0,
347,0.799935,0.835,0.715,0.0350652,-0.678089,0,
348,-0.864,0.789,1.74,1.653,0,0,
349,-0.2945,0.779,1.13,1.0735,0,0,
350,-0.90475,0.772,1.765,1.67675,0,0,
351,0,0.808,0.555,0.808,0.295526,0,
352,0.948,0.948,1.005,0,-0.321224,0,
353,0,1.272,0.05,1.272,1.28895,0,
354,1.66,1.66,0,0,0,0,
355,1.867,1.867,0,0,0,0,
356,5.13,1.83,0,0,0,3.3,
357,4.896,1.596,0,0,0,3.3,
358,4.595,1.295,0,0,0,3.3,
359,3.19926,0.994,0,0,0,2.20526,
360,0.681,0.681,0,0,0,0,
361,0.576,0.576,0,0,0,0,
362,0.536,0.536,0,0,0,0,
363,0.527,0.527,0,0,0,0,
364,0.521,0.521,0,0,0,0,
365,0.575,0.575,0,0,0,0,
366,0.79,0.79,0,0,0,0,
367,1.105,1.105,0,0,0,0,
368,1.026,1.026,0.145,0,-0.145,0,
369,0.833,0.833,0.355,0,-0.355,0,
370,0.838,0.838,0.355,0,-0.355,0,
371,0.223728,0.826,1.18,0.602272,-0.54603,0,
372,-1.10275,0.783,1.985,1.88575,0,0,
373,-0.31825,0.779,1.155,1.09725,0,0,
374,0.26375,0.772,0.535,0.50825,0,0,
375,0,0.808,0.735,0.808,0.115526,0,
376,0,0.948,0.865,0.948,0.132895,0,
377,0,1.272,0.05,1.272,1.28895,0,
378,1.66,1.66,0,0,0,0,
379,1.867,1.867,0,0,0,0,
380,5.13,1.83,0,0,0,3.3,
381,4.896,1.596,0,0,0,3.3,
382,4.595,1.295,0,0,0,3.3,
383,3.21126,1.006,0,0,0,2.20526,
384,0.703,0.703,0,0,0,0,
385,0.6,0.6,0,0,0,0,
386,0.563,0.563,0,0,0,0,
387,0.554,0.554,0,0,0,0,
388,0.55,0.55,0,0,0,0,
389,0.608,0.608,0,0,0,0,
390,0.826,0.826,0,0,0,0,
391,1.138,1.138,0,0,0,0,
392,1.043,1.043,0.6,0,-0.6,0,
393,0.4755,0.826,1.44,0.3505,-1.07105,0,
394,-1.14475,0.817,2.065,1.96175,0,0,
395,-1.6515,0.809,2.59,2.4605,0,0,
396,-1.92925,0.783,2.855,2.71225,0,0,
397,-1.82875,0.779,2.745,2.60775,0,0,
398,-1.49375,0.772,2.385,2.26575,0,0,
399,-0.83075,0.808,1.725,1.63875,0,0,
400,-0.0305,0.948,1.03,0.9785,0,0,
401,0,1.272,0.065,1.272,1.27395,0,
402,1.66,1.66,0,0,0,0,
403,1.867,1.867,0,0,0,0,
404,5.13,1.83,0,0,0,3.3,
405,4.896,1.596,0,0,0,3.3,
406,4.597,1.297,0,0,0,3.3,
407,3.21226,1.007,0,0,0,2.20526,
408,0.713,0.713,0,0,0,0,
409,0.613,0.613,0,0,0,0,
410,0.58,0.58,0,0,0,0,
411,0.582,0.582,0,0,0,0,
412,0.577,0.577,0,0,0,0,
413,0.631,0.631,0,0,0,0,
414,0.864,0.864,0,0,0,0,
415,1.172,1.172,0,0,0,0,
416,1.075,1.075,0.44,0,-0.44,0,
417,0.714739,0.867,1.105,0.152261,-0.944725,0,
418,-1.207,0.845,2.16,2.052,0,0,
419,-1.71575,0.816,2.665,2.53175,0,0,
420,-1.953,0.783,2.88,2.736,0,0,
421,-1.6625,0.779,2.57,2.4415,0,0,
422,-1.432,0.772,2.32,2.204,0,0,
423,-0.75475,0.808,1.645,1.56275,0,0,
424,-0.01625,0.948,1.015,0.96425,0,0,
425,0,1.272,0.07,1.272,1.26895,0,
426,1.66,1.66,0,0,0,0,
427,1.867,1.867,0,0,0,0,
428,5.13,1.83,0,0,0,3.3,
429,4.896,1.596,0,0,0,3.3,
430,4.606,1.306,0,0,0,3.3,
431,3.22626,1.021,0,0,0,2.20526,
432,0.733,0.733,0,0,0,0,
433,0.63,0.63,0,0,0,0,
434,0.593,0.593,0,0,0,0,
435,0.586,0.586,0,0,0,0,
436,0.583,0.583,0,0,0,0,
437,0.642,0.642,0,0,0,0,
438,0.878,0.878,0,0,0,0,
439,1.191,1.191,0,0,0,0,
440,1.1,1.1,0.57,0,-0.57,0,
441,0.373826,0.897,1.36,0.523174,-0.809291,0,
442,-0.31575,0.905,1.285,1.22075,0,0,
443,-0.69175,0.89,1.665,1.58175,0,0,
444,-1.8005,0.831,2.77,2.6315,0,0,
445,-0.792,0.823,1.7,1.615,0,0,
446,-1.30475,0.809,2.225,2.11375,0,0,
447,-0.083,0.848,0.98,0.931,0,0,
448,0,0.984,0.94,0.984,0.0957895,0,
449,0,1.308,0.07,1.308,1.30684,0,
450,1.695,1.695,0,0,0,0,
