Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
95,0.995,0.995,0,0,0,0,2.99226,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,24,100,
96,0.697,0.697,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,24,100,
97,0.596,0.596,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,24,100,
98,0.562,0.562,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,24,100,
99,0.56,0.56,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,24,100,
100,0.555,0.555,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
101,0.616,0.616,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
102,0.848,0.848,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
103,1.171,1.171,0,0,0,0,90,0,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
104,1.078,1.078,104,1.26294,102.737,0.134929,90,0.52,0,0,0,1.62427,8.43274,0,0,0,200,0.2,0,0,
105,0.87,0.87,266,8.20408,257.796,0.262062,90,1.33,0,0.214444,0,1.10427,8.43274,0,0,0,200,0.2,0,0,
106,0.864,0.864,394,30.1719,363.828,0.331048,90,1.97,0,1.8715,0,0,8.43274,0,0,0,200,0.2,0,0,
107,0.862,0.862,488,64.3914,423.609,0.37999,90,2.44,0,2.318,0,0,8.43274,0,0,0,200,0.2,0,0,
108,0.831,0.831,497,68.9368,428.063,0.385014,2.79293,2.485,0,2.36075,0,0,8.43274,0,0,0,200,0.2,0,0,
109,0.823,0.823,525,112.623,412.377,0.434041,2.76527,2.625,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
110,0.809,0.809,435,80.2473,354.753,0.41592,2.4572,2.175,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
111,0.848,0.848,299,35.1302,263.87,0.368706,0.961908,1.495,0,0,0,0,8.43274,0,0,0,200,0.2,0,0,
112,0.984,0.984,169,11.9396,157.06,0.324523,1.27018,0.845,0,0.984,0,0,8.43274,0,0,0,200,0.2,0,0,
113,1.308,1.308,2,0.00184521,1.99815,0.0102512,1.42781,0.01,0,1.308,0,0.211988,8.43274,0,0,0,200,0.2,0,0,
114,1.695,1.695,0,0,0,0,1.68177,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,0,0,
115,1.902,1.902,0,0,0,0,1.94349,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,12,50,
116,1.866,1.866,0,0,0,0,2.20521,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,15.135,63.0625,
117,1.631,1.631,0,0,0,0,2.46693,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,18.27,76.125,
118,1.324,1.324,0,0,0,0,2.72865,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,21.405,89.1875,
119,1.014,1.014,0,0,0,0,2.99037,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,24,100,
120,0.708,0.708,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,24,100,
121,0.607,0.607,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,24,100,
122,0.572,0.572,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,24,100,
123,0.563,0.563,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,24,100,
124,0.565,0.565,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,0,0,
125,0.627,0.627,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,0,0,
126,0.86,0.86,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,0,0,
127,1.177,1.177,0,0,0,0,90,0,0,0,0,1.7307,8.43274,0,0,0,200,0.2,0,0,
128,1.106,1.106,58,0.393526,57.6065,0.0753881,90,0.29,0.00018847,0,-0.29,1.7307,8.43274,0.00018847,0,-0.00018847,200.018,0.200018,0,0,
129,0.892,0.892,283,10.9502,272.05,0.279031,90,1.415,0.000697578,0,-1.415,1.4407,8.43255,0.000697578,0.000169623,-0.000697578,200.084,0.200084,0,0,
