Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
321,0.803,0.803,0,0,0,0,
322,0.8,0.8,0,0,0,0,
323,0.809,0.809,0,0,0,0,
324,0.783,0.783,0,0,0,0,
325,0.264529,0.779,2.02471,0.514471,-1.48316,0,
326,-1.97272,0.772,2.88918,2.74472,0,0,
327,-1.10224,0.808,2.01078,1.91024,0,0,
328,-0.143256,0.948,1.14869,1.09126,0,0,
329,0,1.272,0.0479931,1.272,1.29095,0,
330,1.66,1.66,0,0,0,0,
331,1.867,1.867,0,0,0,0,
332,5.13,1.83,0,0,0,3.3,
333,4.896,1.596,0,0,0,3.3,
334,4.595,1.295,0,0,0,3.3,
335,3.72558,0.994,0,0,0,2.73158,
336,0.679,0.679,0,0,0,0,
337,0.566,0.566,0,0,0,0,
338,0.522,0.522,0,0,0,0,
339,0.519,0.519,0,0,0,0,
340,0.515,0.515,0,0,0,0,
341,0.575,0.575,0,0,0,0,
342,0.795,0.795,0,0,0,0,
343,1.109,1.109,0,0,0,0,
344,1.031,1.031,0,0,0,0,
345,0.833,0.833,0,0,0,0,
346,0.84,0.84,0,0,0,0,
347,0.835,0.835,0,0,0,0,
348,0.789,0.789,0,0,0,0,
349,0.208409,0.779,2.03502,0.570591,-1.43439,0,
350,-1.95607,0.772,2.87165,2.72807,0,0,
351,0,0.808,0.667773,0.808,0.182753,0,
352,-0.000586267,0.948,1.20157,0.948586,-0.203059,0,
353,0,1.272,0.0599887,1.272,1.27896,0,
354,1.66,1.66,0,0,0,0,
355,1.867,1.867,0,0,0,0,
356,5.13,1.83,0,0,0,3.3,
357,4.896,1.596,0,0,0,3.3,
358,4.595,1.295,0,0,0,3.3,
359,3.72558,0.994,0,0,0,2.73158,
360,0.681,0.681,0,0,0,0,
361,0.576,0.576,0,0,0,0,
362,0.536,0.536,0,0,0,0,
363,0.527,0.527,0,0,0,0,
364,0.521,0.521,0,0,0,0,
365,0.575,0.575,0,0,0,0,
366,0.79,0.79,0,0,0,0,
367,1.105,1.105,0,0,0,0,
368,1.026,1.026,0,0,0,0,
369,0.833,0.833,0,0,0,0,
370,0.838,0.838,0,0,0,0,
371,0.826,0.826,0,0,0,0,
372,0.783,0.783,0,0,0,0,
373,0.183819,0.779,2.04757,0.595181,-1.42107,0,
374,0.131143,0.772,0.674587,0.640857,0,0,
375,-0.0333548,0.808,0.885637,0.841355,0,0,
376,-0.0356195,0.948,1.03539,0.98362,0,0,
377,0,1.272,0.0599883,1.272,1.27896,0,
378,1.66,1.66,0,0,0,0,
379,1.867,1.867,0,0,0,0,
380,5.13,1.83,0,0,0,3.3,
381,4.896,1.596,0,0,0,3.3,
382,4.595,1.295,0,0,0,3.3,
383,3.73758,1.006,0,0,0,2.73158,
384,0.703,0.703,0,0,0,0,
385,0.6,0.6,0,0,0,0,
386,0.563,0.563,0,0,0,0,
387,0.554,0.554,0,0,0,0,
388,0.55,0.55,0,0,0,0,
389,0.608,0.608,0,0,0,0,
390,0.826,0.826,0,0,0,0,
391,1.138,1.138,0,0,0,0,
392,1.043,1.043,0,0,0,0,
393,0.826,0.826,0,0,0,0,
394,0.817,0.817,0,0,0,0,
395,0.809,0.809,0,0,0,0,
396,0.783,0.783,0,0,0,0,
397,0.169729,0.779,2.0624,0.609271,-1.42107,0,
398,-1.92105,0.772,2.83479,2.69305,0,0,
399,-1.307,0.808,2.22631,2.115,0,0,
400,-0.22072,0.948,1.23023,1.16872,0,0,
401,0,1.272,0.0779795,1.272,1.26097,0,
402,1.66,1.66,0,0,0,0,
403,1.867,1.867,0,0,0,0,
404,5.13,1.83,0,0,0,3.3,
405,4.896,1.596,0,0,0,3.3,
406,4.597,1.297,0,0,0,3.3,
407,3.73858,1.007,0,0,0,2.73158,
