Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
137,1.308,1.308,2,0.000433018,1.99957,0.00240566,1.99995,0.0119997,1.37684,1.308,1.36484,0,0,7.58947,1.36484,8.56133,85.6133,0,0,0,
138,1.695,1.695,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
139,1.902,1.902,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,12,50,
140,1.866,1.866,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,3.3,15.135,63.0625,
141,1.631,1.631,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,3.3,18.27,76.125,
142,1.324,1.324,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,3.3,21.405,89.1875,
143,1.012,1.012,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,2.73158,24,100,
144,0.697,0.697,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,24,100,
145,0.596,0.596,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,24,100,
146,0.561,0.561,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,24,100,
147,0.557,0.557,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,24,100,
148,0.555,0.555,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
149,0.612,0.612,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
150,0.836,0.836,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
151,1.149,1.149,0,0,0,0,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
152,1.055,1.055,101,0,0,0.8,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
153,0.837,0.837,221,0,0,0.8,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
154,0.826,0.826,347,0,0,0.8,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
155,0.811,0.811,365,0,0,0.8,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
156,0.783,0.783,535,0,0,0.8,0,0,0,0,0,1.51649,0,6.22462,0,8.56133,85.6133,0,0,0,
157,0.779,0.779,419,58.6111,11.6045,0.8,335.657,2.01394,0.497453,0.472581,-1.51649,1.51649,1.51649,6.22462,0,10,100,0,0,0,
158,0.772,0.772,331,276.385,54.615,0.95531,602.004,3.61202,3.61202,3.43142,0,0,0,7.58947,0,10,100,0,0,0,
159,0.808,0.808,327,164.43,162.57,0.574079,367.995,2.20797,2.20797,2.09757,0,0,0,7.58947,0,10,100,0,0,0,
