Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
364,0.521,0.521,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
365,0.575,0.575,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
366,0.79,0.79,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
367,1.105,1.105,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
368,1.026,1.026,29,0.389736,28.6103,0.149324,27.0358,0.0540715,0,0,-0.0540715,2.10819,0.0540715,0,0,8.0513,80.513,0,0,0,
369,0.833,0.833,71,1.01073,69.9893,0.158174,64.2821,0.128564,0,0,-0.128564,2.05411,0.128564,0.0486644,0,8.17326,81.7326,0,0,0,
370,0.838,0.838,71,0.692012,70.308,0.108296,63.9512,0.127902,0,0,-0.127902,1.92555,0.127902,0.164372,0,8.2946,82.946,0,0,0,
371,0.826,0.826,236,11.3242,224.676,0.294876,202.822,0.405644,0,0,-0.405644,1.79765,0.405644,0.279484,0,8.67943,86.7943,0,0,0,
372,0.783,0.783,397,99.7812,297.219,0.454652,246.411,0.492822,0,0,-0.492822,1.392,0.492822,0.644564,0,9.14696,91.4696,0,0,0,
373,0.779,0.779,231,7.47753,223.522,0.265754,202.49,0.404981,0,0,-0.404981,0.899181,0.404981,1.0881,0,9.53116,95.3116,0,0,0,
374,0.772,0.772,107,1.30648,105.694,0.135668,96.0904,0.192181,0,0,-0.192181,0.4942,0.192181,1.45259,0,9.71348,97.1348,0,0,0,
375,0.808,0.808,147,3.19234,143.808,0.23074,130.533,0.261066,0.850526,0.808,0.58946,0.30202,0,1.62555,0.58946,9.09213,90.9213,0,0,0,
376,0.948,0.948,173,29.59,143.41,0.407327,123.809,0.247617,0.997895,0.948,0.750278,0.956975,0,1.03609,0.750278,8.30127,83.0127,0,0,0,
377,1.272,1.272,10,0.0541916,9.94581,0.0602129,9.03932,0.0180786,0.30389,0.288695,0.285811,1.79062,0,0.285811,0.285811,8,80,0,0,0,
378,1.66,1.66,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
379,1.867,1.867,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,12,50,
380,1.83,1.83,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,13.5,56.25,
381,1.596,1.596,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,15,62.5,
382,1.295,1.295,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,16.5,68.75,
383,1.006,1.006,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,18,75,
384,0.703,0.703,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,19.5,81.25,
385,0.6,0.6,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,21,87.5,
386,0.563,0.563,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,22.5,93.75,
387,0.554,0.554,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,1.66667,24,100,
388,0.55,0.55,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
389,0.608,0.608,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
390,0.826,0.826,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
391,1.138,1.138,0,0,0,0,0,0,0,0,0,2.10819,0,0,0,8,80,0,0,0,
392,1.043,1.043,120,71.1891,48.8109,0.614966,236.584,0.473167,0,0,-0.473167,2.10819,0.473167,0,0,8.44889,84.4889,0,0,0,
393,0.826,0.826,288,185.84,102.16,0.639577,192.818,0.385636,0,0,-0.385636,1.63502,0.385636,0.42585,0,8.81473,88.1473,0,0,0,
394,0.817,0.817,413,256.584,156.416,0.628064,109.917,0.219834,0,0,-0.219834,1.24938,0.219834,0.772923,0,9.02329,90.2329,0,0,0,
395,0.809,0.809,518,340.195,177.805,0.6452,105.53,0.21106,0,0,-0.21106,1.02955,0.21106,0.970774,0,9.22351,92.2351,0,0,0,
396,0.783,0.783,571,382.389,188.611,0.651657,110.298,0.220596,0,0,-0.220596,0.818488,0.220596,1.16073,0,9.43279,94.3279,0,0,0,
397,0.779,0.779,549,342.252,206.748,0.629078,127.316,0.254632,0,0,-0.254632,0.597892,0.254632,1.35926,0,9.67436,96.7436,0,0,0,
398,0.772,0.772,477,269.339,207.661,0.601874,135.85,0.2717,0,0,-0.2717,0.34326,0.2717,1.58843,0,9.93211,99.3211,0,0,0,
399,0.808,0.808,345,145.843,199.157,0.538099,147.462,0.294924,0.850526,0.808,0.555603,0.0715597,0,1.83296,0.555603,9.34646,93.4646,0,0,0,
