Time step,Total load,Net load,Solar PV,Inverter AC,Battery,Electric vehicle,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.539,0,-0.539,0,
201,0.803,0.141824,1.575,0.661176,-0.886275,0,
202,0.8,-1.62592,2.527,2.42592,0,0,
203,0.809,-1.9126,2.835,2.7216,0,0,
204,0.783,-1.71012,2.597,2.49312,0,0,
205,0.779,-1.68052,2.562,2.45952,0,0,
206,0.772,-1.4456,2.31,2.2176,0,0,
207,0.808,-0.71072,1.582,1.51872,0,0,
208,0.948,-0.28848,1.288,1.23648,0,0,
209,1.272,0,0.028,1.272,1.297,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,1.83,5.13,0,0,0,3.3,
213,1.596,4.896,0,0,0,3.3,
214,1.295,4.595,0,0,0,3.3,
215,0.994,3.85442,0,0,0,2.86042,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.119,0,-0.119,0,
225,0.805,0.805,0.791,0,-0.791,0,
226,0.805,0.0564637,1.295,0.748536,-0.515275,0,
227,0.809,-2.46364,3.409,3.27264,0,0,
228,0.783,-2.8794,3.815,3.6624,0,0,
229,0.779,-2.73556,3.661,3.51456,0,0,
230,0.772,-2.04368,2.933,2.81568,0,0,
231,0.808,0,0.364,0.808,0.477667,0,
232,0.948,1.11022e-016,0.196,0.948,0.7915,0,
233,1.272,0,0.007,1.272,1.318,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,1.83,5.13,0,0,0,3.3,
237,1.596,4.896,0,0,0,3.3,
238,1.295,4.595,0,0,0,3.3,
239,0.994,3.85442,0,0,0,2.86042,
240,0.679,0.679,0,0,0,0,
241,0.566,0.566,0,0,0,0,
242,0.522,0.522,0,0,0,0,
243,0.51,0.51,0,0,0,0,
244,0.507,0.507,0,0,0,0,
245,0.561,0.561,0,0,0,0,
246,0.784,0.784,0,0,0,0,
247,1.095,1.095,0,0,0,0,
248,0.999,0.999,0.791,0,-0.791,0,
249,0.803,0.803,1.953,0,-1.953,0,
250,0.8,-1.88028,2.891,2.68028,-0.0990403,0,
251,0.809,-2.60476,3.556,3.41376,0,0,
252,0.783,-2.8794,3.815,3.6624,0,0,
253,0.779,-2.69524,3.619,3.47424,0,0,
254,0.772,-2.20496,3.101,2.97696,0,0,
255,0.808,-1.45664,2.359,2.26464,0,0,
256,0.948,-0.3288,1.33,1.2768,0,0,
257,1.272,0,0.035,1.272,1.29,0,
258,1.66,1.66,0,0,0,0,
259,1.867,1.867,0,0,0,0,
260,1.83,5.13,0,0,0,3.3,
261,1.596,4.896,0,0,0,3.3,
262,1.295,4.595,0,0,0,3.3,
263,0.994,3.85442,0,0,0,2.86042,
264,0.686,0.686,0,0,0,0,
265,0.57,0.57,0,0,0,0,
266,0.522,0.522,0,0,0,0,
267,0.506,0.506,0,0,0,0,
268,0.505,0.505,0,0,0,0,
269,0.571,0.571,0,0,0,0,
270,0.798,0.798,0,0,0,0,
271,1.127,1.127,0,0,0,0,
272,1.046,1.046,0.749,0,-0.749,0,
273,0.848,-0.297681,1.862,1.14568,-0.668582,0,
274,0.851,-1.89748,2.863,2.74848,0,0,
275,0.862,-2.47784,3.479,3.33984,0,0,
276,0.831,-2.8314,3.815,3.6624,0,0,
277,0.823,-2.65124,3.619,3.47424,0,0,
278,0.809,-2.0806,3.01,2.8896,0,0,
279,0.848,-1.25536,2.191,2.10336,0,0,
280,0.984,-0.26592,1.302,1.24992,0,0,
281,1.308,0,0.042,1.308,1.3205,0,
282,1.695,1.695,0,0,0,0,
283,1.902,1.902,0,0,0,0,
284,1.866,5.166,0,0,0,3.3,
285,1.631,4.931,0,0,0,3.3,
286,1.324,4.624,0,0,0,3.3,
287,1.01,3.87042,0,0,0,2.86042,
288,0.686,0.686,0,0,0,0,
289,0.57,0.57,0,0,0,0,
290,0.522,0.522,0,0,0,0,
291,0.511,0.511,0,0,0,0,
292,0.515,0.515,0,0,0,0,
293,0.577,0.577,0,0,0,0,
294,0.811,0.811,0,0,0,0,
295,1.137,1.137,0,0,0,0,
296,1.053,1.053,0.77,0,-0.77,0,
297,0.848,-0.373025,1.953,1.22103,-0.681099,0,
298,0.851,-1.85716,2.821,2.70816,0,0,
299,0.862,-2.47784,3.479,3.33984,0,0,
300,0.831,-2.68356,3.661,3.51456,0,0,
301,0.823,-2.6042,3.57,3.4272,0,0,
302,0.809,-2.20156,3.136,3.01056,0,0,
303,0.848,-1.34944,2.289,2.19744,0,0,
304,0.984,-0.3264,1.365,1.3104,0,0,
305,1.308,0,0.049,1.308,1.3135,0,
306,1.695,1.695,0,0,0,0,
307,1.902,1.902,0,0,0,0,
308,1.866,5.166,0,0,0,3.3,
309,1.631,4.931,0,0,0,3.3,
310,1.324,4.624,0,0,0,3.3,
311,1.01,3.87042,0,0,0,2.86042,
312,0.679,0.679,0,0,0,0,
313,0.566,0.566,0,0,0,0,
314,0.529,0.529,0,0,0,0,
315,0.528,0.528,0,0,0,0,
316,0.53,0.53,0,0,0,0,
317,0.591,0.591,0,0,0,0,
318,0.813,0.813,0,0,0,0,
319,1.123,1.123,0,0,0,0,
320,1.025,1.025,0.791,0,-0.791,0,
