Time step,Total load requested [kW],Total load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
174,0.808,0.808,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,0,0,
175,1.123,1.123,0,0,0,0,0,0,0,0,0,1.43297,0,6.98573,0,9.63304,87.5731,0,0,0,
176,1.022,1.022,113,1.499,111.501,0.147394,113,0.791,0,0,-0.791,1.43297,0.791,6.98573,0,10.3876,94.4327,0,0,0,
177,0.803,0.803,279,10.2881,268.712,0.275483,279,1.953,1.31103,1.25859,-0.641967,0.641967,0.641967,7.70554,0,11,100,0,0,0,
178,0.8,0.8,404,34.2551,369.745,0.33952,404,2.828,2.828,2.71488,0,0,0,8.28973,0,11,100,0,0,0,
179,0.809,0.809,503,74.0358,428.964,0.391126,503,3.521,3.521,3.38016,0,0,0,8.28973,0,11,100,0,0,0,
180,0.783,0.783,540,100.663,439.337,0.41713,540,3.78,3.78,3.6288,0,0,0,8.28973,0,11,100,0,0,0,
181,0.779,0.779,500,88.79,411.21,0.411552,500,3.5,3.5,3.36,0,0,0,8.28973,0,11,100,0,0,0,
182,0.772,0.772,452,93.4249,358.575,0.429448,452,3.164,3.164,3.03744,0,0,0,8.28973,0,11,100,0,0,0,
183,0.808,0.808,326,51.3629,274.637,0.398332,326,2.282,2.282,2.19072,0,0,0,8.28973,0,11,100,0,0,0,
184,0.948,0.948,187,18.6874,168.313,0.353795,187,1.309,1.309,1.25664,0,0,0,8.28973,0,11,100,0,0,0,
185,1.272,1.272,4,0.00710497,3.9929,0.019736,4,0.028,1.325,1.272,1.297,0,0,8.28973,1.297,9.64037,87.6398,0,0,0,
186,1.66,1.66,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,0,0,
187,1.867,1.867,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,0,12.75,51,
188,1.83,1.83,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,3.3,15.918,63.672,
189,1.596,1.596,0,0,0,0,0,0,0,0,0,1.42527,0,6.99273,0,9.64037,87.6398,3.3,19.086,76.344,
