Time step,Grid total load,Grid net load,Strata 1 total load,Strata 2 total load,
228,1.566,-5.2029,-2.3235,-2.8794,
229,1.558,-4.93766,-2.2021,-2.73556,
230,1.544,-3.65998,-1.6163,-2.04368,
231,1.616,0,0,0,
232,1.896,1.11022e-016,0,1.11022e-016,
233,2.544,0,0,0,
234,3.32,3.32,1.66,1.66,
235,3.734,3.734,1.867,1.867,
236,3.66,10.26,5.13,5.13,
237,3.192,9.792,4.896,4.896,
238,2.59,9.19,4.595,4.595,
239,1.988,7.58,3.72558,3.85442,
240,1.358,1.358,0.679,0.679,
241,1.132,1.132,0.566,0.566,
242,1.044,1.044,0.522,0.522,
243,1.02,1.02,0.51,0.51,
244,1.014,1.014,0.507,0.507,
245,1.122,1.122,0.561,0.561,
246,1.568,1.568,0.784,0.784,
247,2.19,2.19,1.095,1.095,
248,1.998,1.998,0.999,0.999,
249,1.606,1.606,0.803,0.803,
250,1.6,-2.81734,-0.937056,-1.88028,
251,1.618,-4.69136,-2.0866,-2.60476,
252,1.566,-5.2029,-2.3235,-2.8794,
253,1.558,-4.86314,-2.1679,-2.69524,
254,1.544,-3.95806,-1.7531,-2.20496,
255,1.616,-2.56954,-1.1129,-1.45664,
256,1.896,-0.4638,-0.135,-0.3288,
257,2.544,0,0,0,
258,3.32,3.32,1.66,1.66,
259,3.734,3.734,1.867,1.867,
260,3.66,10.26,5.13,5.13,
261,3.192,9.792,4.896,4.896,
262,2.59,9.19,4.595,4.595,
263,1.988,7.58,3.72558,3.85442,
264,1.372,1.372,0.686,0.686,
265,1.14,1.14,0.57,0.57,
266,1.044,1.044,0.522,0.522,
267,1.012,1.012,0.506,0.506,
268,1.01,1.01,0.505,0.505,
269,1.142,1.142,0.571,0.571,
270,1.596,1.596,0.798,0.798,
271,2.254,2.254,1.127,1.127,
272,2.092,2.092,1.046,1.046,
273,1.696,-0.194114,0.103567,-0.297681,
274,1.702,-3.37778,-1.4803,-1.89748,
275,1.724,-4.44874,-1.9709,-2.47784,
276,1.662,-5.1069,-2.2755,-2.8314,
277,1.646,-4.77514,-2.1239,-2.65124,
278,1.618,-3.7226,-1.642,-2.0806,
279,1.696,-2.19146,-0.9361,-1.25536,
280,1.968,-0.34212,-0.0762,-0.26592,
281,2.616,0,0,0,
282,3.39,3.39,1.695,1.695,
283,3.804,3.804,1.902,1.902,
284,3.732,10.332,5.166,5.166,
285,3.262,9.862,4.931,4.931,
286,2.648,9.248,4.624,4.624,
287,2.02,7.612,3.74158,3.87042,
288,1.372,1.372,0.686,0.686,
289,1.14,1.14,0.57,0.57,
290,1.044,1.044,0.522,0.522,
291,1.022,1.022,0.511,0.511,
292,1.03,1.03,0.515,0.515,
293,1.154,1.154,0.577,0.577,
294,1.622,1.622,0.811,0.811,
295,2.274,2.274,1.137,1.137,
296,2.106,2.106,1.053,1.053,
297,1.696,-0.326992,0.0460333,-0.373025,
298,1.702,-3.30326,-1.4461,-1.85716,
299,1.724,-4.44874,-1.9709,-2.47784,
300,1.662,-4.83366,-2.1501,-2.68356,
301,1.646,-4.6882,-2.084,-2.6042,
302,1.618,-3.94616,-1.7446,-2.20156,
303,1.696,-2.36534,-1.0159,-1.34944,
304,1.968,-0.4539,-0.1275,-0.3264,
305,2.616,0,0,0,
306,3.39,3.39,1.695,1.695,
307,3.804,3.804,1.902,1.902,
308,3.732,10.332,5.166,5.166,
309,3.262,9.862,4.931,4.931,
310,2.648,9.248,4.624,4.624,
311,2.02,7.612,3.74158,3.87042,
312,1.358,1.358,0.679,0.679,
313,1.132,1.132,0.566,0.566,
314,1.058,1.058,0.529,0.529,
315,1.056,1.056,0.528,0.528,
316,1.06,1.06,0.53,0.53,
