Time step,Load requested [kW],Load served [kW],SolarResource global horizontal radiation [W/m2],SolarResource direct horizontal radiation [W/m2],SolarResource diffuse horizontal radiation [W/m2],SolarResource clearness index [-],SolarPV incident radiation [kW/m2],SolarPV power output [kW],Converter input [kW],Converter output [kW],Battery output power [kW],Battery max charge power [kW],Battery charge power [kW],Battery max discharge power [kW],Battery discharge power [kW],Battery capacity as energy [kWh],Battery capacity as fraction [%],ElectricVehicle charge power [kW],ElectricVehicle capacity as energy [kWh],ElectricVehicle capacity as fraction [%],
85,0.779,0.779,491,83.3687,407.631,0.406512,491,2.946,2.946,2.7987,0,0,0,9.2971,0,10,100,0,0,0,
86,0.772,0.772,435,80.8507,354.149,0.416788,435,2.61,2.61,2.4795,0,0,0,9.2971,0,10,100,0,0,0,
87,0.808,0.808,308,41.0419,266.958,0.380971,308,1.848,1.848,1.7556,0,0,0,9.2971,0,10,100,0,0,0,
88,0.948,0.948,174,14.1155,159.885,0.33581,174,1.044,1.044,0.9918,0,0,0,9.2971,0,10,100,0,0,0,
89,1.272,1.272,1,0.000467456,0.999533,0.00519396,1,0.006,1.33895,1.272,1.33295,0,0,9.2971,1.33295,8.59495,85.9495,0,0,0,
90,1.66,1.66,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
91,1.867,1.867,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,12,50,
92,1.83,1.83,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,15.135,63.0625,
93,1.596,1.596,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,18.27,76.125,
94,1.295,1.295,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,3.3,21.405,89.1875,
95,0.995,0.995,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,2.73158,24,100,
96,0.697,0.697,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
97,0.596,0.596,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
98,0.562,0.562,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
99,0.56,0.56,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,24,100,
100,0.555,0.555,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
101,0.616,0.616,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
102,0.848,0.848,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
103,1.171,1.171,0,0,0,0,0,0,0,0,0,1.48105,0,7.96415,0,8.59495,85.9495,0,0,0,
104,1.078,1.078,104,1.26294,102.737,0.134929,104,0.624,0,0,-0.624,1.48105,0.624,7.96415,0,9.18693,91.8693,0,0,0,
105,0.87,0.87,266,8.20408,257.796,0.262062,266,1.596,0.738947,0.702,-0.857053,0.857053,0.857053,8.52575,0,10,100,0,0,0,
106,0.864,0.864,394,30.1719,363.828,0.331048,394,2.364,2.364,2.2458,0,0,0,9.2971,0,10,100,0,0,0,
107,0.862,0.862,488,64.3914,423.609,0.37999,488,2.928,2.928,2.7816,0,0,0,9.2971,0,10,100,0,0,0,
108,0.831,0.831,497,68.9368,428.063,0.385014,497,2.982,2.982,2.8329,0,0,0,9.2971,0,10,100,0,0,0,
109,0.823,0.823,525,112.623,412.377,0.434041,525,3.15,3.15,2.9925,0,0,0,9.2971,0,10,100,0,0,0,
110,0.809,0.809,435,80.2473,354.753,0.41592,435,2.61,2.61,2.4795,0,0,0,9.2971,0,10,100,0,0,0,
111,0.848,0.848,299,35.1302,263.87,0.368706,299,1.794,1.794,1.7043,0,0,0,9.2971,0,10,100,0,0,0,
112,0.984,0.984,169,11.9396,157.06,0.324523,169,1.014,1.03579,0.984,0.0217895,0,0,9.2971,0.0217895,9.97703,99.7703,0,0,0,
113,1.308,1.308,2,0.00184521,1.99815,0.0102512,2,0.012,1.37684,1.308,1.36484,0.0242105,0,9.27531,1.36484,8.53836,85.3836,0,0,0,
114,1.695,1.695,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,0,0,
115,1.902,1.902,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,12,50,
116,1.866,1.866,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,3.3,15.135,63.0625,
117,1.631,1.631,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,3.3,18.27,76.125,
118,1.324,1.324,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,3.3,21.405,89.1875,
119,1.014,1.014,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,2.73158,24,100,
120,0.708,0.708,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,24,100,
121,0.607,0.607,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,24,100,
122,0.572,0.572,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,24,100,
123,0.563,0.563,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,24,100,
124,0.565,0.565,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,0,0,
125,0.627,0.627,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,0,0,
126,0.86,0.86,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,0,0,
127,1.177,1.177,0,0,0,0,0,0,0,0,0,1.5407,0,7.91046,0,8.53836,85.3836,0,0,0,
128,1.106,1.106,58,0.393526,57.6065,0.0753881,58,0.348,0,0,-0.348,1.5407,0.348,7.91046,0,8.8685,88.685,0,0,0,
129,0.892,0.892,283,10.9502,272.05,0.279031,283,1.698,0.505298,0.480033,-1.1927,1.1927,1.1927,8.22366,0,10,100,0,0,0,
130,0.886,0.886,371,22.2724,348.728,0.311757,371,2.226,2.226,2.1147,0,0,0,9.2971,0,10,100,0,0,0,
131,0.862,0.862,503,74.3033,428.697,0.391502,503,3.018,3.018,2.8671,0,0,0,9.2971,0,10,100,0,0,0,
132,0.831,0.831,491,64.8028,426.197,0.380014,491,2.946,2.946,2.7987,0,0,0,9.2971,0,10,100,0,0,0,
133,0.823,0.823,490,81.7147,408.285,0.404518,490,2.94,2.94,2.793,0,0,0,9.2971,0,10,100,0,0,0,
134,0.809,0.809,401,54.3135,346.686,0.382607,401,2.406,2.406,2.2857,0,0,0,9.2971,0,10,100,0,0,0,
135,0.848,0.848,305,38.2394,266.761,0.374955,305,1.83,1.83,1.7385,0,0,0,9.2971,0,10,100,0,0,0,
136,0.984,0.984,181,16.5228,164.477,0.345834,181,1.086,1.086,1.0317,0,0,0,9.2971,0,10,100,0,0,0,
